index,index2,id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore,AC,TLE,MLE,WA,RTE,cat
47,47,ITP1_9_C,Card Game,1,65536,100,2037,3718,0,False,False,False,0,0.32,0,2357,35,0,1141,185,-1
48,48,ALDS1_8_A,Binary Search Tree I,2,65536,100,1109,3120,0,False,False,False,0,0.32,0,1592,145,139,847,397,-1
49,49,ALDS1_8_B,Binary Search Tree II,2,65536,100,1045,1964,0,False,False,False,0,0.32,0,1315,150,12,384,103,-1
50,50,ALDS1_8_C,Binary Search Tree III,2,131072,100,786,2481,0,False,False,False,0,0.32,0,1099,50,6,790,536,-1
51,51,ALDS1_9_A,Complete Binary Tree,1,65536,100,1149,3430,0,False,False,False,0,0.32,0,1339,7,2,1776,306,-1
52,52,ALDS1_9_B,Maximum Heap,2,65536,100,1063,2808,0,False,False,False,0,0.32,0,1313,95,10,926,464,-1
53,53,ALDS1_9_C,Priority Queue,2,131072,100,924,3470,0,False,False,False,0,0.32,0,1347,699,65,868,491,-1
54,54,ALDS1_10_A,Fibonacci Number,1,65536,100,1566,3541,0,False,False,False,0,0.32,0,1983,691,5,595,267,-1
55,55,ALDS1_10_B,Matrix Chain Multiplication,1,65536,100,995,2146,0,False,False,False,0,0.32,0,1212,36,2,577,319,-1
56,56,ALDS1_10_C,Longest Common Subsequence,1,65536,100,1043,4633,0,False,False,False,0,0.32,0,1573,595,39,1503,923,-1
57,57,ALDS1_11_A,Graph,1,65536,100,1401,3238,0,False,False,False,0,0.32,0,1666,14,0,1297,261,-1
58,58,ALDS1_11_B,Depth First Search,1,65536,100,1270,3362,0,False,False,False,0,0.32,0,1663,33,0,1394,272,-1
59,59,ALDS1_11_C,Breadth First Search,1,65536,100,1004,2580,0,False,False,False,0,0.32,0,1313,73,8,962,224,-1
60,60,ALDS1_12_A,Minimum Spanning Tree,1,65536,100,1059,2580,0,False,False,False,0,0.32,0,1393,60,0,886,241,-1
61,61,ALDS1_12_B,Single Source Shortest Path I,1,65536,100,921,2071,0,False,False,False,0,0.32,0,1232,40,14,632,153,-1
62,62,ALDS1_12_C,Single Source Shortest Path II,1,131072,100,462,2101,0,False,False,False,0,0.32,0,849,262,296,319,375,-1
63,63,ITP1_10_A,Distance,1,65536,100,2395,5307,0,False,False,False,0,0.32,0,2735,11,0,1863,698,-1
64,64,ITP1_10_B,Triangle,1,65536,100,2154,4384,0,False,False,False,0,0.32,0,2480,1,0,1753,150,-1
65,65,ITP1_10_C,Standard Deviation,1,65536,100,2078,5536,0,False,False,False,0,0.32,0,2472,252,2,2366,444,-1
66,66,DSL_1_A,Disjoint Set: Union Find Tree,3,65536,100,686,1766,0,False,False,False,0,0.32,0,1191,133,39,234,169,-1
67,67,DSL_2_A,Range Minimum Query (RMQ),2,65536,100,477,2620,0,False,False,False,0,0.32,0,1154,281,28,862,293,-1
68,68,DSL_2_B,Range Sum Query (RSQ),1,65536,100,415,1435,0,False,False,False,0,0.32,0,781,68,5,484,97,-1
69,69,CGL_1_A,Projection,1,65536,100,353,904,0,False,False,False,0,0.3626062323,0,548,0,0,335,21,-1
70,70,CGL_1_B,Reflection,1,65536,100,315,513,0,False,False,False,0,0.4063492063,0,427,0,0,84,2,-1
71,71,CGL_1_C,Counter-Clockwise,1,65536,100,296,708,0,False,False,False,0,0.4324324324,0,398,1,0,303,6,-1
72,72,CGL_2_A,Parallel/Orthogonal,1,65536,100,305,621,0,False,False,False,0,0.4196721311,0,429,0,0,184,8,-1
73,73,CGL_2_B,Intersection,1,65536,100,270,866,0,False,False,False,0,0.4740740741,0,387,1,0,465,13,-1
74,74,CGL_2_C,Cross Point,1,65536,100,257,461,0,False,False,False,0,0.4980544747,0,353,2,0,104,1,-1
75,75,CGL_2_D,Distance,1,65536,100,217,476,0,False,False,False,0,0.5898617512,0,283,2,0,184,7,-1
76,76,CGL_7_B,Incircle of a Triangle,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0,-1
77,77,CGL_5_C,Area Searc (kd Tree),1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0,-1
78,78,CGL_5_A,Closest Pair,1,65536,100,107,843,0,False,False,False,0,1.1962616822,0,234,215,7,330,57,-1
79,79,CGL_5_B,Volonoi Diagram,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0,-1
80,80,CGL_4_B,Diameter of a Convex Polygon,1,65536,100,97,310,0,False,False,False,0,1.3195876289,0,159,58,0,81,12,-1
81,81,CGL_4_C,Convex Cut,1,65536,100,77,348,0,False,False,False,0,1.6623376623,0,109,1,0,189,49,-1
82,82,CGL_4_D,Intersection of Convex Polygons,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0,-1
83,83,CGL_4_A,Convex Hull,1,65536,100,191,1301,0,False,False,False,0,0.6701570681,0,412,133,0,656,100,-1
84,84,CGL_3_C,Polygon-Point Containment,1,65536,100,194,535,0,False,False,False,0,0.6597938144,0,283,3,0,244,5,-1
85,85,CGL_3_B,Is-Convex,1,65536,100,150,377,0,False,False,False,0,0.8533333333,0,189,0,0,186,2,-1
86,86,CGL_3_A,Area,1,65536,100,242,744,0,False,False,False,0,0.5289256198,0,412,2,0,308,22,-1
87,87,GRL_1_E,K-th Shortest Path,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0,-1
88,88,GRL_1_B,Single Source Shortest Path (Negative Edges),1,65536,100,323,1137,0,False,False,False,0,0.3962848297,0,522,39,4,539,33,-1
89,89,GRL_1_C,All Pairs Shortest Path,1,65536,100,372,1639,0,False,False,False,0,0.3440860215,0,552,6,8,1036,37,-1
90,90,GRL_1_D,Single Source Shortest Path (Pathfinding),1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0,-1
91,91,GRL_2_A,Minimum Spanning Tree,1,65536,100,377,1142,0,False,False,False,0,0.3395225464,0,652,53,82,233,122,-1
92,92,GRL_2_B,Minimum-Cost Arborescence,1,65536,100,57,314,0,False,False,False,0,2.2456140351,0,106,4,1,183,20,-1
93,93,GRL_2_C,Steiner Tree,1,65536,100,0,0,0,False,False,False,0,0,0,0,0,0,0,0,-1
94,94,GRL_3_B,Bridges,1,65536,100,188,617,0,False,False,False,0,0.6808510638,0,285,28,2,279,23,-1
95,95,GRL_3_A,Articulation Points,1,65536,100,260,1049,0,False,False,False,0,0.4923076923,0,435,30,7,470,107,-1
96,96,GRL_3_C,Strongly Connected Components,1,65536,100,214,741,0,False,False,False,0,0.5981308411,0,451,23,5,161,101,-1
97,97,GRL_5_B,Height of a Tree,1,65536,100,72,259,0,False,False,False,0,1.7777777778,0,113,80,8,41,17,-1
98,98,GRL_5_A,Diameter of a Tree,1,65536,100,219,626,0,False,False,False,0,0.5844748858,0,354,21,7,106,138,-1
99,99,CGL_7_G,Common Tangent,1,65536,100,44,108,0,False,False,False,0,2.9090909091,0,55,0,0,52,1,-1
100,100,NTL_1_A,Prime Factorize,1,65536,100,452,2216,0,False,False,False,0,0.32,0,611,457,70,886,192,-1
101,101,NTL_1_B,Power,1,65536,100,445,1713,0,False,False,False,0,0.32,0,676,183,33,739,82,-1
102,102,NTL_1_C,Least Common Multiple,1,65536,100,318,509,0,False,False,False,0,0.4025157233,0,389,16,1,74,29,-1
103,103,NTL_1_D,Euler's Phi Function,1,65536,100,213,609,0,False,False,False,0,0.6009389671,0,266,110,30,168,35,-1
104,104,DPL_1_A,Coin Changing Problem,1,65536,100,719,2209,0,False,False,False,0,0.32,0,1059,165,23,714,248,-1
