id,name,problemTimeLimit,problemMemoryLimit,maxScore,solvedUser,submissions,recommendations,isSolved,bookmark,recommend,successRate,score,userScore
DSL_2_A,Range Minimum Query (RMQ),2,65536,100,477,2620,0,false,false,false,0,0.32,0
DSL_2_B,Range Sum Query (RSQ),1,65536,100,415,1435,0,false,false,false,0,0.32,0
CGL_1_A,Projection,1,65536,100,353,904,0,false,false,false,0,0.3626062322946176,0
CGL_1_B,Reflection,1,65536,100,315,513,0,false,false,false,0,0.40634920634920635,0
CGL_1_C,Counter-Clockwise,1,65536,100,296,708,0,false,false,false,0,0.43243243243243246,0
CGL_2_A,Parallel/Orthogonal,1,65536,100,305,621,0,false,false,false,0,0.419672131147541,0
CGL_2_B,Intersection,1,65536,100,270,866,0,false,false,false,0,0.4740740740740741,0
CGL_2_C,Cross Point,1,65536,100,257,461,0,false,false,false,0,0.4980544747081712,0
CGL_2_D,Distance,1,65536,100,217,476,0,false,false,false,0,0.5898617511520737,0
CGL_7_B,Incircle of a Triangle,1,65536,100,0,0,0,false,false,false,0,0,0
CGL_5_C,Area Searc (kd Tree),1,65536,100,0,0,0,false,false,false,0,0,0
CGL_5_A,Closest Pair,1,65536,100,107,843,0,false,false,false,0,1.1962616822429906,0
CGL_5_B,Volonoi Diagram,1,65536,100,0,0,0,false,false,false,0,0,0
CGL_4_B,Diameter of a Convex Polygon,1,65536,100,97,310,0,false,false,false,0,1.3195876288659794,0
CGL_4_C,Convex Cut,1,65536,100,77,348,0,false,false,false,0,1.6623376623376624,0
CGL_4_D,Intersection of Convex Polygons,1,65536,100,0,0,0,false,false,false,0,0,0
CGL_4_A,Convex Hull,1,65536,100,191,1301,0,false,false,false,0,0.6701570680628273,0
CGL_3_C,Polygon-Point Containment,1,65536,100,194,535,0,false,false,false,0,0.6597938144329897,0
CGL_3_B,Is-Convex,1,65536,100,150,377,0,false,false,false,0,0.8533333333333334,0
CGL_3_A,Area,1,65536,100,242,744,0,false,false,false,0,0.5289256198347108,0
GRL_1_E,K-th Shortest Path,1,65536,100,0,0,0,false,false,false,0,0,0
GRL_1_B,Single Source Shortest Path (Negative Edges),1,65536,100,323,1137,0,false,false,false,0,0.39628482972136225,0
GRL_1_C,All Pairs Shortest Path,1,65536,100,372,1639,0,false,false,false,0,0.34408602150537637,0
GRL_1_D,Single Source Shortest Path (Pathfinding),1,65536,100,0,0,0,false,false,false,0,0,0
GRL_2_A,Minimum Spanning Tree,1,65536,100,377,1142,0,false,false,false,0,0.3395225464190981,0
GRL_2_B,Minimum-Cost Arborescence,1,65536,100,57,314,0,false,false,false,0,2.245614035087719,0
GRL_2_C,Steiner Tree,1,65536,100,0,0,0,false,false,false,0,0,0
GRL_3_B,Bridges,1,65536,100,188,617,0,false,false,false,0,0.6808510638297872,0
GRL_3_A,Articulation Points,1,65536,100,260,1049,0,false,false,false,0,0.49230769230769234,0
GRL_3_C,Strongly Connected Components,1,65536,100,214,741,0,false,false,false,0,0.5981308411214953,0
GRL_5_B,Height of a Tree,1,65536,100,72,259,0,false,false,false,0,1.7777777777777777,0
GRL_5_A,Diameter of a Tree,1,65536,100,219,626,0,false,false,false,0,0.5844748858447488,0
CGL_7_G,Common Tangent,1,65536,100,44,108,0,false,false,false,0,2.909090909090909,0
NTL_1_A,Prime Factorize,1,65536,100,452,2216,0,false,false,false,0,0.32,0
NTL_1_B,Power,1,65536,100,445,1713,0,false,false,false,0,0.32,0
NTL_1_C,Least Common Multiple,1,65536,100,318,509,0,false,false,false,0,0.4025157232704403,0
NTL_1_D,Euler's Phi Function,1,65536,100,213,609,0,false,false,false,0,0.6009389671361502,0
DPL_1_A,Coin Changing Problem,1,65536,100,719,2209,0,false,false,false,0,0.32,0
DPL_1_B,0-1 Knapsack Problem,1,65536,100,859,2901,0,false,false,false,0,0.32,0
DPL_1_C,Knapsack Problem,1,65536,100,524,1279,0,false,false,false,0,0.32,0
DPL_1_D,Longest Increasing Subsequence,1,65536,100,415,1795,0,false,false,false,0,0.32,0
GRL_4_A,Cycle Detection for a Directed Graph,1,65536,100,157,401,0,false,false,false,0,0.8152866242038217,0
DSL_2_C,Range Search (kD Tree),1,262144,100,163,1570,0,false,false,false,0,0.7852760736196319,0
DPL_2_A,Traveling Salesman Problem,1,65536,100,208,659,0,false,false,false,0,0.6153846153846154,0
DPL_2_B,Chinese Postman Problem,1,65536,100,58,131,0,false,false,false,0,2.206896551724138,0
DPL_1_E,Edit Distance (Levenshtein Distance),1,65536,100,319,883,0,false,false,false,0,0.4012539184952978,0
GRL_5_C,Lowest Common Ancestor,1,65536,100,172,914,0,false,false,false,0,0.7441860465116279,0
NTL_1_E,Extended Euclid Algorithm,1,65536,100,181,411,0,false,false,false,0,0.7071823204419889,0
GRL_7_A,Bipartite Matching,1,65536,100,172,433,0,false,false,false,0,0.7441860465116279,0
GRL_1_A,Single Source Shortest Path,3,131072,100,498,2854,0,false,false,false,0,0.32,0
ALDS1_1_D,Maximum Profit,1,65536,100,2586,12573,0,false,false,false,0,0.32,0
ALDS1_2_D,Shell Sort,6,131072,100,1098,5741,0,false,false,false,0,0.32,0
ALDS1_3_D,Areas on the Cross-Section Diagram,1,65536,100,775,3003,0,false,false,false,0,0.32,0
ALDS1_4_D,Allocation,1,65536,100,783,3814,0,false,false,false,0,0.32,0
ALDS1_5_D,The Number of Inversions,1,65536,100,533,2441,0,false,false,false,0,0.32,0
ALDS1_6_D,Minimum Cost Sort,1,65536,100,300,1210,0,false,false,false,0,0.4266666666666667,0
ALDS1_7_D,Reconstruction of a Tree,1,65536,100,384,881,0,false,false,false,0,0.3333333333333333,0
ITP1_1_D,Watch,1,65536,100,8483,19241,0,false,false,false,0,0.32,0
ITP1_2_D,Circle in a Rectangle,1,65536,100,6286,17257,0,false,false,false,0,0.32,0
ITP1_3_D,How Many Divisors?,1,65536,100,5577,11130,0,false,false,false,0,0.32,0
ITP1_4_D,"Min, Max and Sum",1,65536,100,4717,22387,0,false,false,false,0,0.32,0
ITP1_5_D,Structured Programming,1,65536,100,3315,16823,0,false,false,false,0,0.32,0
ITP1_6_D,Matrix Vector Multiplication,1,65536,100,2973,5879,0,false,false,false,0,0.32,0
ITP1_7_D,Matrix Multiplication,1,65536,100,2446,10177,0,false,false,false,0,0.32,0
ITP1_8_D,Ring,1,65536,100,2136,5208,0,false,false,false,0,0.32,0
ITP1_9_D,Transformation,1,65536,100,1703,4586,0,false,false,false,0,0.32,0
ITP1_10_D,Distance II,1,65536,100,1809,3876,0,false,false,false,0,0.32,0
ITP1_11_A,Dice I,1,65536,100,1534,3403,0,false,false,false,0,0.32,0
ITP1_11_B,Dice II,1,65536,100,1266,2680,0,false,false,false,0,0.32,0
ITP1_11_C,Dice III,1,65536,100,1103,4252,0,false,false,false,0,0.32,0
ITP1_11_D,Dice IV,1,65536,100,1028,3399,0,false,false,false,0,0.32,0
ALDS1_13_A,8 Queens Problem,1,65536,100,377,842,0,false,false,false,0,0.3395225464190981,0
ALDS1_13_B,8 Puzzle,1,65536,100,229,1204,0,false,false,false,0,0.5589519650655022,0
ALDS1_13_C,15 Puzzle,3,262144,100,136,1101,0,false,false,false,0,0.9411764705882353,0
ALDS1_11_D,Connected Components,1,65536,100,442,2208,0,false,false,false,0,0.32,0
GRL_6_A,Maximum Flow,1,65536,100,244,1312,0,false,false,false,0,0.5245901639344263,0
GRL_4_B,Topological Sort,1,65536,100,291,776,0,false,false,false,0,0.43986254295532645,0
CGL_7_A,Intersection,1,65536,100,72,101,0,false,false,false,0,1.7777777777777777,0
CGL_7_D,Cross Points of a Circle and a Line,1,65536,100,141,430,0,false,false,false,0,0.9078014184397163,0
CGL_7_E,Cross Points of Circles,1,65536,100,134,351,0,false,false,false,0,0.9552238805970149,0
DPL_3_A,Largest Square,1,65536,100,197,862,0,false,false,false,0,0.649746192893401,0
DPL_3_B,Largest Rectangle,1,65536,100,135,582,0,false,false,false,0,0.9481481481481482,0
CGL_6_A,Segment Intersections: Manhattan Geometry,2,65536,100,69,322,0,false,false,false,0,1.855072463768116,0
ALDS1_14_A,Naive String Search,1,65536,100,253,456,0,false,false,false,0,0.5059288537549407,0
ALDS1_14_B,String Search,1,262144,100,163,1156,0,false,false,false,0,0.7852760736196319,0
ALDS1_14_C,Pattern Search,3,262144,100,63,434,0,false,false,false,0,2.0317460317460316,0
ALDS1_14_D,Multiple String Matching,3,262144,100,65,933,0,false,false,false,0,1.9692307692307693,0
GRL_6_B,Minimum Cost Flow,1,65536,100,114,309,0,false,false,false,0,1.1228070175438596,0
CGL_7_C,Excircle of a Triangle,1,65536,100,0,0,0,false,false,false,0,0,0
CGL_7_F,Tangent to a Circle,1,65536,100,51,63,0,false,false,false,0,2.5098039215686274,0
DSL_4_A,Union of Rectangles,6,262144,100,51,206,0,false,false,false,0,2.5098039215686274,0
